year,month,american_hunter,american_rifleman,americas_1st_freedom,adjustments,adjustment_notes,nra_subscribers
1981,"July",836924,1166277,,0,"",2003201
1981,"August",854830,1177449,,0,"",2032279
1981,"September",860174,1176152,,0,"",2036326
1981,"October",871240,1182412,,0,"",2053652
1981,"November",895697,1198764,,0,"",2094461
1981,"December",915457,1210361,,0,"",2125818
1982,"January",922604,1214030,,0,"",2136634
1982,"February",946261,1229313,,0,"",2175574
1982,"March",986309,1259706,,0,"",2246015
1982,"April",1019635,1280404,,0,"",2300039
1982,"May",1056933,1303619,,0,"",2360552
1982,"June",1039119,1277718,,0,"",2316837
1982,"July",1099897,1318092,,0,"",2417989
1982,"August",1101316,1316513,,0,"",2417829
1982,"September",1105588,1316862,,0,"",2422450
1982,"October",1119297,1322640,,0,"",2441937
1982,"November",1161843,1356492,,0,"",2518335
1982,"December",1183659,1362827,,0,"",2546486
1983,"January",1217026,1384513,,0,"",2601539
1983,"February",1225908,1383764,,0,"",2609672
1983,"March",1255011,1399393,,0,"",2654404
1983,"April",1281551,1409199,,0,"",2690750
1983,"May",1293152,1408551,,0,"",2701703
1983,"June",1278780,1388114,,0,"",2666894
1983,"July",1258212,1369694,,0,"",2627906
1983,"August",1252048,1355896,,0,"",2607944
1983,"September",1261208,1355937,,0,"",2617145
1983,"October",1313586,1388100,,0,"",2701686
1983,"November",1335686,1403597,,0,"",2739283
1983,"December",1341716,1412721,,0,"",2754437
1984,"January",1358069,1411585,,0,"",2769654
1984,"February",1365057,1406401,,0,"",2771458
1984,"March",1407843,1441097,,0,"",2848940
1984,"April",1440830,1460252,,0,"",2901082
1984,"May",1428718,1455730,,0,"",2884448
1984,"June",1416593,1441663,,0,"",2858256
1984,"July",1425899,1439875,,0,"",2865774
1984,"August",1423366,1433225,,0,"",2856591
1984,"September",1454421,1457505,,0,"",2911926
1984,"October",1486353,1476021,,0,"",2962374
1984,"November",1505279,1477959,,0,"",2983238
1984,"December",1494642,1458304,,0,"",2952946
1985,"January",1483952,1452638,,0,"",2936590
1985,"February",1487430,1464754,,0,"",2952184
1985,"March",1526422,1476439,,0,"",3002861
1985,"April",1522212,1473462,,0,"",2995674
1985,"May",1519162,1459223,,0,"",2978385
1985,"June",1486756,1437934,,0,"",2924690
1985,"July",1472591,1433504,,0,"",2906095
1985,"August",1472862,1440471,,0,"",2913333
1985,"September",1480449,1452272,,0,"",2932721
1985,"October",1500415,1471777,,0,"",2972192
1985,"November",1512573,1472392,,0,"",2984965
1985,"December",1498508,1450045,,0,"",2948553
1986,"January",1455674,1416689,,0,"",2872363
1986,"February",1412665,1375123,,0,"",2787788
1986,"March",1384807,1356021,,0,"",2740828
1986,"April",1380130,1336958,,0,"",2717088
1986,"May",1353308,1310722,,0,"",2664030
1986,"June",1433438,1366401,,0,"",2799839
1986,"July",1460739,1387878,,0,"",2848617
